City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Rawson,AR,67.23,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
2,Hilo,US,76.12,moderate rain,19.7297,-155.09,Hilo Hawaiian Hotel
3,Chinsali,ZM,65.46,light rain,-10.5414,32.0816,Chisakatu Guest House
5,Puerto Ayora,EC,67.55,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
7,Tateyama,JP,69.73,clear sky,34.9833,139.8667,Tateyama Seaside Hotel
8,Mahebourg,MU,72.25,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
13,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
19,Oranjestad,AW,80.55,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
21,Hithadhoo,MV,81.84,overcast clouds,-0.6,73.0833,Scoop Guest House
22,Fukue,JP,68.36,moderate rain,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
23,Kavieng,PG,85.1,broken clouds,-2.5744,150.7967,Nusa Island Retreat
24,Nacala,MZ,77.36,broken clouds,-14.5428,40.6728,Nacala Plaza Business Design Hotel
26,Avarua,CK,77.05,broken clouds,-21.2078,-159.775,Paradise Inn
27,Dicabisagan,PH,85.42,few clouds,17.0818,122.4157,Nancy Montanes Bernardo
31,Hobart,AU,82.27,clear sky,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
35,Sao Filipe,CV,77.4,overcast clouds,14.8961,-24.4956,Hotel Xaguate
38,Los Llanos De Aridane,ES,65.95,scattered clouds,28.6585,-17.9182,Valle Aridane
42,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
44,Saint-Philippe,RE,72.99,broken clouds,-21.3585,55.7679,Le four à pain
46,Ribeira Grande,PT,69.78,overcast clouds,38.5167,-28.7,Quinta da Meia Eira
47,Planeta Rica,CO,73.08,overcast clouds,8.4147,-75.5883,HOTEL MEDIA LUNA
51,Waingapu,ID,87.06,few clouds,-9.6567,120.2641,Pondok Wisata Elim
53,Rikitea,PF,73.18,overcast clouds,-23.1203,-134.9692,People ThankYou
55,Katsuura,JP,69.82,clear sky,35.1333,140.3,Katsuura Hotel Mikazuki
57,Bryan,US,74.88,clear sky,30.6744,-96.37,Best Western Premier Bryan College Station
58,Georgetown,MY,85.93,few clouds,5.4112,100.3354,Cititel Penang
61,Alto Araguaia,BR,70.63,clear sky,-17.3147,-53.2153,Araguaia Palace Hotel
63,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
65,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
66,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
67,Vila Velha,BR,71.55,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
70,Ha Giang,VN,79.57,clear sky,22.8333,104.9833,Truong Xuan Resort
72,Victoria,HK,82.04,few clouds,22.2855,114.1577,Mini Central
74,Carnarvon,AU,69.91,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
75,Vanimo,PG,83.23,broken clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
76,Kiama,AU,76.37,scattered clouds,-34.6833,150.8667,The Sebel Kiama Harbourside
77,Clarence Town,AU,77.14,clear sky,-32.5833,151.7833,River Downs Cottage
78,Cabo San Lucas,MX,76.6,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
80,Kapaa,US,79.11,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
85,Butaritari,KI,81.79,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
86,Bilma,NE,66.78,clear sky,18.6853,12.9164,Expeditions Ténére voyages
88,Cabedelo,BR,77.67,broken clouds,-6.9811,-34.8339,Pousada Camboinha
89,Hobyo,SO,78.94,clear sky,5.3505,48.5268,Halane Hotel and Restaurent
97,Ugoofaaru,MV,80.71,overcast clouds,5.6667,73.0,Ungoofaaru Inn
99,Bambous Virieux,MU,73.22,few clouds,-20.3428,57.7575,Casa Tia Villa
106,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
107,Auki,SB,82.0,overcast clouds,-8.7676,160.7034,Auki Motel
110,Champasak,LA,81.48,overcast clouds,14.75,106.0,Kiat Ngong wetland BUNGALOW
112,Sao Domingos,BR,75.33,overcast clouds,-13.3983,-46.3183,Hotel e Restaurante Uirapuru (Márcio uirapuru )Em São Domingos -Go
119,Daru,PG,85.21,few clouds,-9.0763,143.2092,Daru Lodge
123,Khammam,IN,74.82,clear sky,17.25,80.15,Hotel Vishnu Residency
127,Tikrit,IQ,68.63,overcast clouds,34.6071,43.6782,عماره العبطه
132,Ixtapa,MX,71.76,scattered clouds,20.7,-105.2,hotel la terminal
139,Lazaro Cardenas,MX,77.59,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
141,Dakar,SN,77.88,overcast clouds,14.6937,-17.4441,Novotel Dakar
150,Arraial Do Cabo,BR,70.16,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
151,Guarapari,BR,69.89,overcast clouds,-20.6667,-40.4975,Hotel Porto do Sol
155,Takoradi,GH,77.97,broken clouds,4.8845,-1.7554,Raybow International Hotel
156,Ponta Do Sol,PT,68.63,scattered clouds,32.6667,-17.1,Hotel do Campo
160,Banda Aceh,ID,82.83,light rain,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
165,Matadi,CD,74.41,overcast clouds,-5.8167,13.45,Hotel Vivi Palace
167,Te Anau,NZ,65.17,clear sky,-45.4167,167.7167,Kingsgate Hotel Te Anau
168,Puerto Narino,CO,73.83,light rain,-3.7703,-70.3831,Eware Refugio Amazonico
169,Hatillo,PR,77.32,scattered clouds,18.4863,-66.8254,El Buen Hotel
172,Oussouye,SN,77.23,clear sky,12.485,-16.5469,Auberge du Routard
173,Vryburg,ZA,65.17,scattered clouds,-26.9566,24.7284,The Times Premier Lodge
177,Bandarbeyla,SO,80.11,light rain,9.4942,50.8122,JABIR HOTEL
179,Tuatapere,NZ,66.42,clear sky,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
182,Ponca City,US,69.94,few clouds,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
188,Tianmen,CN,79.3,clear sky,30.6516,113.1603,Tianmen Luyu Hotel
189,Praia Da Vitoria,PT,70.05,broken clouds,38.7333,-27.0667,Hotel Branco I
190,Arona,ES,67.39,clear sky,28.0996,-16.681,Paradise Court
192,Ambilobe,MG,71.55,overcast clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
194,Lorengau,PG,83.3,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
196,Sao Joao Da Barra,BR,69.33,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
199,San Policarpo,PH,82.83,overcast clouds,12.1791,125.5072,Agapita M. Nicart
201,Marawi,PH,80.22,broken clouds,7.9986,124.2928,Derogongan Residence
203,Galle,LK,77.81,overcast clouds,6.0367,80.217,Amangalla
204,Bosaso,SO,79.99,clear sky,11.2842,49.1816,Red Sea Hotel
208,Kiunga,PG,81.68,broken clouds,-6.1219,141.2906,Airport Lodge Kiunga
210,Port Augusta,AU,85.28,clear sky,-32.5,137.7667,Majestic Oasis Apartments
212,Mareeba,AU,84.92,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
213,Hasaki,JP,70.29,few clouds,35.7333,140.8333,Inubosaki Kanko Hotel
216,Ozu,JP,70.75,clear sky,33.5,132.55,HOTEL FOREST
219,Souillac,MU,73.4,clear sky,-20.5167,57.5167,Shanti Maurice Resort & Spa
220,Bambanglipuro,ID,81.79,overcast clouds,-7.95,110.2833,Puri Brata
221,Portel,BR,73.36,broken clouds,-1.9356,-50.8211,Kitnet do Marcos
222,Bontang,ID,81.77,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
223,Port Moresby,PG,86.72,broken clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
227,Kuala Terengganu,MY,80.56,overcast clouds,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
231,Benguela,AO,72.57,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
233,Panzhihua,CN,67.46,clear sky,26.5851,101.7128,Electric Power Hotel
236,Nicoya,CR,73.02,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
237,Cozumel,MX,80.08,clear sky,20.5083,-86.9458,Cozumel Palace® All Inclusive Resort
238,Beira,MZ,72.97,clear sky,-19.8436,34.8389,Beira Terrace Hotel
239,Port Blair,IN,83.8,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
240,Gigmoto,PH,84.67,overcast clouds,13.7796,124.39,Cj's Travellers Inn
245,Touros,BR,77.22,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
248,Shimoda,JP,68.11,clear sky,34.6667,138.95,Shimoda Tokyu Hotel
249,Port-Gentil,GA,76.17,heavy intensity rain,-0.7193,8.7815,Fengshui Residence
250,Caravelas,BR,73.08,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
253,Pathankot,IN,65.46,overcast clouds,32.2833,75.65,Hotel Venice
258,Misratah,LY,66.56,scattered clouds,32.3754,15.0925,Almasa Hotel
262,Sulangan,PH,83.35,broken clouds,11.1373,123.7228,Maia's Beach Resort
263,Long,TH,82.18,scattered clouds,18.0761,99.8326,Nopphakoe Homestay
267,Markala,ML,73.62,few clouds,13.7021,-6.0659,Hôtel Igor
268,Naze,JP,70.41,broken clouds,28.3667,129.4833,Shishime Hotel
269,Magallanes,PH,86.25,overcast clouds,9.02,125.5172,Chloe's Beach
270,Sungaipenuh,ID,67.42,moderate rain,-2.0833,101.3833,Penginapan Citra Alam
274,Yara,CU,71.22,clear sky,20.2753,-76.9533,Casa de Margarita Puebla Lorente
275,Kavaratti,IN,82.8,broken clouds,10.5669,72.642,Green leaf
277,Mattru,SL,72.73,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
279,Buala,SB,83.05,light rain,-8.145,159.5921,Maringe Lagoon Lodge
280,Geraldton,AU,73.81,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
281,Kahului,US,79.84,clear sky,20.8947,-156.47,Maui Seaside Hotel
