City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Rawson,AR,-43.3002,-65.1023,67.23,57,100,12.95,overcast clouds
1,Cape Town,ZA,-33.9258,18.4232,60.91,69,0,13.0,clear sky
2,Hilo,US,19.7297,-155.09,76.12,85,75,12.66,moderate rain
3,Chinsali,ZM,-10.5414,32.0816,65.46,81,100,5.66,light rain
4,Muros,ES,42.7762,-9.0603,60.1,94,91,7.61,overcast clouds
5,Puerto Ayora,EC,-0.7393,-90.3518,67.55,89,38,5.01,scattered clouds
6,Jamestown,US,42.097,-79.2353,56.79,27,0,12.66,clear sky
7,Tateyama,JP,34.9833,139.8667,69.73,55,0,19.86,clear sky
8,Mahebourg,MU,-20.4081,57.7,72.25,83,20,0.0,few clouds
9,Bredasdorp,ZA,-34.5322,20.0403,56.89,68,35,8.86,scattered clouds
10,Port Alfred,ZA,-33.5906,26.891,59.18,97,100,11.07,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,40.66,65,40,18.41,scattered clouds
12,Narsaq,GL,60.9167,-46.05,22.8,85,100,2.53,overcast clouds
13,Vaini,TO,-21.2,-175.2,78.96,89,75,8.05,broken clouds
14,Mar Del Plata,AR,-38.0023,-57.5575,61.88,88,0,11.01,clear sky
15,Olafsvik,IS,64.8945,-23.7142,40.26,85,89,16.44,overcast clouds
16,Severo-Kurilsk,RU,50.6789,156.125,39.34,84,100,20.96,overcast clouds
17,Soligalich,RU,59.0778,42.2864,44.28,97,100,7.31,overcast clouds
18,Baiyin,CN,36.5583,104.2081,50.38,69,36,4.25,scattered clouds
19,Oranjestad,AW,12.524,-70.027,80.55,96,20,2.3,few clouds
20,Thompson,CA,55.7435,-97.8558,8.76,85,75,9.22,broken clouds
21,Hithadhoo,MV,-0.6,73.0833,81.84,73,85,13.51,overcast clouds
22,Fukue,JP,32.6881,128.8419,68.36,83,100,2.3,moderate rain
23,Kavieng,PG,-2.5744,150.7967,85.1,67,62,5.53,broken clouds
24,Nacala,MZ,-14.5428,40.6728,77.36,76,63,8.75,broken clouds
25,Qaanaaq,GL,77.484,-69.3632,-7.4,61,95,6.49,overcast clouds
26,Avarua,CK,-21.2078,-159.775,77.05,73,75,14.97,broken clouds
27,Dicabisagan,PH,17.0818,122.4157,85.42,70,22,5.75,few clouds
28,Asau,RO,46.4333,26.4,40.28,84,51,4.63,broken clouds
29,Iesolo,IT,45.5331,12.6448,56.25,82,100,8.97,light rain
30,Punta Arenas,CL,-53.15,-70.9167,41.11,65,20,13.8,few clouds
31,Hobart,AU,-42.8794,147.3294,82.27,46,0,17.27,clear sky
32,Seoul,KR,37.5683,126.9778,60.24,65,0,3.44,mist
33,Burnie,AU,-41.0667,145.9167,64.09,81,89,7.99,overcast clouds
34,Chuy,UY,-33.6971,-53.4616,57.4,94,61,6.17,broken clouds
35,Sao Filipe,CV,14.8961,-24.4956,77.4,67,100,9.15,overcast clouds
36,Klaksvik,FO,62.2266,-6.589,49.12,92,97,21.21,light rain
37,Castro,BR,-24.7911,-50.0119,55.87,68,6,1.97,clear sky
38,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,80,40,10.36,scattered clouds
39,Upernavik,GL,72.7868,-56.1549,5.22,71,99,5.39,overcast clouds
40,Svetlaya,RU,46.5389,138.3297,39.33,30,0,8.95,clear sky
41,Koslan,RU,63.4564,48.8989,32.77,99,100,5.14,snow
42,Grand Gaube,MU,-20.0064,57.6608,72.37,71,7,1.01,clear sky
43,Yellowknife,CA,62.456,-114.3525,9.12,85,100,11.5,light shower snow
44,Saint-Philippe,RE,-21.3585,55.7679,72.99,72,58,6.71,broken clouds
45,Pisco,PE,-13.7,-76.2167,62.65,88,0,3.44,clear sky
46,Ribeira Grande,PT,38.5167,-28.7,69.78,91,100,20.0,overcast clouds
47,Planeta Rica,CO,8.4147,-75.5883,73.08,98,100,5.06,overcast clouds
48,Rezh,RU,57.37,61.4043,33.3,98,100,7.4,overcast clouds
49,Berezniki,RU,59.4152,56.8124,32.61,99,100,4.65,light snow
50,Linxia,CN,35.6003,103.2064,51.17,64,5,2.91,clear sky
51,Waingapu,ID,-9.6567,120.2641,87.06,63,17,10.11,few clouds
52,Bluff,NZ,-46.6,168.3333,58.8,62,0,17.45,clear sky
53,Rikitea,PF,-23.1203,-134.9692,73.18,87,100,10.94,overcast clouds
54,Hainburg,DE,50.0716,8.9524,50.49,94,0,4.7,clear sky
55,Katsuura,JP,35.1333,140.3,69.82,53,1,18.79,clear sky
56,Barrow,US,71.2906,-156.7887,24.03,83,92,15.99,overcast clouds
57,Bryan,US,30.6744,-96.37,74.88,77,0,6.91,clear sky
58,Georgetown,MY,5.4112,100.3354,85.93,84,20,9.22,few clouds
59,Rocha,UY,-34.4833,-54.3333,54.45,97,62,6.24,broken clouds
60,Husavik,IS,66.0449,-17.3389,41.47,99,100,9.4,overcast clouds
61,Alto Araguaia,BR,-17.3147,-53.2153,70.63,41,0,2.86,clear sky
62,Smithers,CA,54.7804,-127.1743,12.52,73,75,3.44,broken clouds
63,San Andres,CO,12.5847,-81.7006,82.42,78,20,4.61,few clouds
64,Chumikan,RU,54.7183,135.315,21.27,75,24,19.46,few clouds
65,Bathsheba,BB,13.2167,-59.5167,81.21,83,40,12.66,scattered clouds
66,Oistins,BB,13.0667,-59.5333,80.69,83,40,12.66,scattered clouds
67,Vila Velha,BR,-20.3297,-40.2925,71.55,94,0,4.61,clear sky
68,Luderitz,NA,-26.6481,15.1594,56.82,81,4,13.29,clear sky
69,Kaitangata,NZ,-46.2817,169.8464,55.92,58,0,12.06,clear sky
70,Ha Giang,VN,22.8333,104.9833,79.57,57,1,2.57,clear sky
71,Henties Bay,NA,-22.116,14.2845,57.04,93,1,4.25,clear sky
72,Victoria,HK,22.2855,114.1577,82.04,77,14,5.99,few clouds
73,Bar Harbor,US,44.3876,-68.2039,47.37,71,0,10.36,clear sky
74,Carnarvon,AU,-24.8667,113.6333,69.91,57,92,13.94,overcast clouds
75,Vanimo,PG,-2.6741,141.3028,83.23,83,84,6.13,broken clouds
76,Kiama,AU,-34.6833,150.8667,76.37,61,36,8.01,scattered clouds
