City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Rikitea,PF,2022-10-27 21:47:11,-23.1203,-134.9692,73.67,77,44,13.8
1,Altay,CN,2022-10-27 21:47:12,47.8667,88.1167,39.63,91,100,1.12
2,Port Hardy,CA,2022-10-27 21:47:12,50.6996,-127.4199,50.18,81,100,12.66
3,Ushuaia,AR,2022-10-27 21:44:10,-54.8,-68.3,46.06,61,75,19.57
4,Atuona,PF,2022-10-27 21:47:13,-9.8,-139.0333,77.13,73,39,16.98
5,Severo-Kurilsk,RU,2022-10-27 21:47:14,50.6789,156.125,39.15,64,100,27.98
6,Jutai,BR,2022-10-27 21:47:14,-5.1833,-68.9,81.09,84,91,1.54
7,Avon Park,US,2022-10-27 21:43:26,27.5959,-81.5062,87.73,63,93,5.01
8,Albany,US,2022-10-27 21:47:15,42.6001,-73.9662,55.81,53,0,5.01
9,Mataura,NZ,2022-10-27 21:47:15,-46.1927,168.8643,54.5,93,100,5.91
10,Wad Rawah,SD,2022-10-27 21:47:16,15.1603,33.1397,84.97,19,12,12.08
11,Vaini,TO,2022-10-27 21:47:16,-21.2,-175.2,78.96,78,40,11.5
12,Te Anau,NZ,2022-10-27 21:47:17,-45.4167,167.7167,53.42,95,100,2.82
13,East London,ZA,2022-10-27 21:45:47,-33.0153,27.9116,67.57,78,100,17.38
14,Bathsheba,BB,2022-10-27 21:47:18,13.2167,-59.5167,83.01,74,40,20.71
15,Santa Isabel Do Rio Negro,BR,2022-10-27 21:47:18,-0.4139,-65.0192,83.28,70,88,2.93
16,Palu,ID,2022-10-27 21:47:19,-0.8917,119.8707,73.94,91,98,3.4
17,Faanui,PF,2022-10-27 21:47:19,-16.4833,-151.75,79.63,70,100,5.93
18,Cherskiy,RU,2022-10-27 21:47:19,68.75,161.3,-0.42,97,99,7.14
19,Hobart,AU,2022-10-27 21:45:04,-42.8794,147.3294,57.06,97,100,6.91
20,Hithadhoo,MV,2022-10-27 21:47:20,-0.6,73.0833,81.12,79,81,14.18
21,Antofagasta,CL,2022-10-27 21:46:03,-23.65,-70.4,60.08,73,6,7.74
22,Hermanus,ZA,2022-10-27 21:47:21,-34.4187,19.2345,57.79,84,1,9.24
23,Paragominas,BR,2022-10-27 21:47:21,-2.9667,-47.4833,78.35,72,87,3.42
24,Nicoya,CR,2022-10-27 21:47:22,10.1483,-85.452,81.5,82,77,3.13
25,Qaanaaq,GL,2022-10-27 21:47:22,77.484,-69.3632,-4.58,68,0,8.95
26,Nelson Bay,AU,2022-10-27 21:47:23,-32.7167,152.15,69.01,64,0,8.01
27,Yellowknife,CA,2022-10-27 21:47:23,62.456,-114.3525,32.56,100,100,10.36
28,Cockburn Town,TC,2022-10-27 21:47:24,21.4612,-71.1419,80.28,68,7,7.52
29,Ayan,RU,2022-10-27 21:47:24,56.45,138.1667,32.9,50,4,7.23
